 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-42578/2d81e0eee6445ac237dc987f?v=853c949a&size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-90740/dac6d82131894d34eacae4e9?v=e1df812a&size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45236/e742a8fec106648548f15b1c?size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45237/e742a8fec106648548f15b1c?size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45234/e742a8fec106648548f15b1c?size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38991/3358f63d84d491e782e4693b?size=feed-1080
 WARNING | 01-30-23 | 17:58:32 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45179/2ce0ec055666498c98855b3c?size=feed-1080
 WARNING | 01-30-23 | 17:58:32 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45191/b3683192c8b78f8852f46ad3?size=feed-1080
 WARNING | 01-30-23 | 17:58:32 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45193/b3683192c8b78f8852f46ad3?size=feed-1080
 WARNING | 01-30-23 | 17:58:32 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-45181/2ce0ec055666498c98855b3c?size=feed-1080
 DEBUG | 01-30-23 | 17:58:36 | Monday | 2000
 WARNING | 01-30-23 | 17:58:47 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-91298/b0a98f2c1359b461a78979ef?v=96a990e2&size=feed-1080
 WARNING | 01-30-23 | 17:58:47 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-91301/b6f3684df42714c89cbbed0a?v=f1b04653&size=feed-1080
 WARNING | 01-30-23 | 17:58:47 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-91297/b0a98f2c1359b461a78979ef?v=d182d3e4&size=feed-1080
 WARNING | 01-30-23 | 17:58:47 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-91299/b0a98f2c1359b461a78979ef?v=ddec2e1c&size=feed-1080
 WARNING | 01-30-23 | 17:58:47 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-91300/b6f3684df42714c89cbbed0a?v=a857b216&size=feed-1080
 WARNING | 01-30-23 | 17:58:47 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-91293/b921915292a61c22e85be4f8?v=516c034d&size=feed-1080
 WARNING | 01-30-23 | 17:58:47 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-91291/f2607bcc092f89d90bb77452?v=335418f4&size=feed-1080
